E1_1,E1_2,E1_3,E2_1,E2_2,E2_3,E3_1,E3_2,E3_3,A1_1,A1_2,A1_3,A2_1,A2_2,A2_3,A3_1,A3_2,A3_3,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,N1_1,N1_2,N1_3,N2_1,N2_2,N2_3,N3_1,N3_2,N3_3,O1_1,O1_2,O1_3,O2_1,O2_2,O2_3,O3_1,O3_2,O3_3,PID,day
,4.0,2.0,4.0,4.0,,3.0,,2.0,,2.0,2.0,4.0,,2.0,4.0,,4.0,4.0,,2.0,,5.0,4.0,5.0,,2.0,4.0,,4.0,,2.0,3.0,4.0,4.0,,4.0,,4.0,,3.0,3.0,1.0,4.0,,7,8.352322222222222
2.0,,2.0,4.0,,3.0,3.0,,4.0,3.0,,3.0,3.0,,3.0,,3.0,2.0,4.0,,3.0,2.0,1.0,,,3.0,4.0,2.0,,4.0,,3.0,3.0,,4.0,2.0,4.0,2.0,,4.0,4.0,,3.0,3.0,,7,8.398555555555555
4.0,2.0,,4.0,3.0,,,4.0,2.0,,2.0,2.0,4.0,,2.0,4.0,,2.0,4.0,,4.0,4.0,4.0,,4.0,2.0,,2.0,,3.0,,4.0,2.0,4.0,,4.0,,2.0,4.0,4.0,4.0,,,5.0,4.0,7,9.0464
1.0,,4.0,,4.0,2.0,,2.0,4.0,,2.0,2.0,,4.0,2.0,3.0,,4.0,4.0,2.0,,4.0,,2.0,5.0,,2.0,,3.0,3.0,,3.0,2.0,2.0,,3.0,5.0,,4.0,4.0,,5.0,2.0,3.0,,7,9.158166666666666
,3.0,2.0,3.0,3.0,,2.0,2.0,,,3.0,2.0,,4.0,2.0,,4.0,4.0,,2.0,2.0,,2.0,4.0,2.0,4.0,,3.0,,2.0,2.0,3.0,,,3.0,3.0,2.0,3.0,,2.0,2.0,,,2.0,3.0,7,9.251922222222221
,4.0,2.0,,4.0,4.0,4.0,3.0,,,2.0,2.0,4.0,,2.0,,2.0,2.0,,2.0,3.0,2.0,,3.0,4.0,,4.0,2.0,,4.0,,3.0,2.0,4.0,4.0,,,2.0,2.0,,4.0,4.0,3.0,2.0,,7,9.321833333333334
4.0,,2.0,4.0,3.0,,,4.0,2.0,4.0,,2.0,4.0,,2.0,,2.0,2.0,,2.0,2.0,3.0,2.0,,4.0,2.0,,2.0,,4.0,3.0,3.0,,,4.0,2.0,4.0,3.0,,4.0,,4.0,,3.0,4.0,7,9.405077777777779
4.0,,4.0,,2.0,4.0,,2.0,4.0,4.0,2.0,,,4.0,2.0,4.0,,2.0,4.0,2.0,,3.0,2.0,,4.0,,2.0,2.0,,4.0,,4.0,4.0,4.0,,2.0,2.0,,3.0,,4.0,4.0,,4.0,3.0,7,9.959755555555555
4.0,4.0,,4.0,3.0,,3.0,2.0,,4.0,4.0,,,4.0,2.0,4.0,,4.0,4.0,,2.0,,2.0,2.0,4.0,,2.0,2.0,2.0,,2.0,4.0,,,4.0,2.0,4.0,2.0,,4.0,,4.0,,4.0,4.0,7,10.079044444444444
,4.0,2.0,,4.0,2.0,4.0,4.0,,,2.0,2.0,4.0,,2.0,4.0,2.0,,4.0,2.0,,,3.0,2.0,4.0,,2.0,2.0,2.0,,2.0,,2.0,2.0,4.0,,5.0,,4.0,,4.0,4.0,1.0,,4.0,7,10.160355555555556
4.0,,2.0,2.0,,4.0,,1.0,3.0,4.0,4.0,,4.0,,2.0,4.0,,4.0,4.0,,2.0,4.0,,2.0,4.0,,2.0,4.0,,2.0,,1.0,4.0,,4.0,2.0,,2.0,4.0,4.0,4.0,,,4.0,4.0,7,10.2405
,4.0,2.0,,4.0,2.0,4.0,4.0,,4.0,2.0,,,5.0,2.0,4.0,2.0,,4.0,,2.0,,1.0,4.0,3.0,,4.0,2.0,2.0,,,4.0,3.0,4.0,,3.0,,2.0,4.0,4.0,,5.0,,4.0,4.0,7,10.318388888888888
,4.0,4.0,2.0,2.0,,,4.0,2.0,,2.0,2.0,,4.0,2.0,4.0,,4.0,4.0,,2.0,4.0,,2.0,,2.0,2.0,4.0,2.0,,2.0,4.0,,,4.0,2.0,4.0,,4.0,4.0,,4.0,2.0,4.0,,7,10.398922222222222
,1.0,4.0,,2.0,4.0,,1.0,4.0,,4.0,4.0,,2.0,2.0,3.0,5.0,,,5.0,5.0,,1.0,5.0,2.0,4.0,,2.0,,4.0,3.0,,4.0,4.0,4.0,,,4.0,2.0,4.0,4.0,,4.0,2.0,,7,11.004866666666667
,3.0,2.0,4.0,,2.0,4.0,,2.0,,2.0,2.0,,4.0,2.0,4.0,2.0,,,2.0,2.0,4.0,5.0,,4.0,,2.0,,2.0,4.0,,4.0,4.0,3.0,4.0,,,2.0,4.0,,4.0,4.0,,4.0,4.0,7,11.081166666666666
1.0,,4.0,2.0,2.0,,,2.0,4.0,3.0,,4.0,,2.0,2.0,2.0,,4.0,3.0,,4.0,,2.0,4.0,2.0,4.0,,4.0,4.0,,3.0,4.0,,4.0,4.0,,3.0,2.0,,4.0,4.0,,2.0,,2.0,7,11.158822222222222
5.0,4.0,,4.0,,2.0,4.0,4.0,,,1.0,2.0,,4.0,4.0,4.0,,2.0,4.0,2.0,,,4.0,2.0,,2.0,2.0,2.0,,4.0,,4.0,2.0,4.0,4.0,,,2.0,4.0,4.0,4.0,,2.0,,4.0,7,11.257566666666667
,5.0,2.0,4.0,,2.0,4.0,4.0,,4.0,,2.0,4.0,4.0,,4.0,2.0,,5.0,,2.0,3.0,3.0,,,4.0,4.0,2.0,,2.0,2.0,4.0,,,4.0,2.0,,2.0,4.0,,4.0,4.0,2.0,,4.0,7,11.325633333333334
5.0,5.0,,4.0,,2.0,,2.0,2.0,,2.0,2.0,,4.0,2.0,4.0,2.0,,4.0,2.0,,,2.0,2.0,4.0,2.0,,2.0,,4.0,,4.0,2.0,,4.0,2.0,5.0,2.0,,4.0,,5.0,2.0,4.0,,7,11.40551111111111
1.0,1.0,,2.0,,4.0,1.0,2.0,,3.0,3.0,,4.0,3.0,,,4.0,4.0,,5.0,5.0,1.0,1.0,,2.0,4.0,,4.0,2.0,,3.0,2.0,,,4.0,2.0,,4.0,2.0,4.0,4.0,,4.0,,2.0,7,11.958577777777778
4.0,4.0,,,3.0,3.0,4.0,3.0,,4.0,,2.0,4.0,4.0,,,2.0,2.0,,2.0,2.0,,4.0,2.0,,2.0,2.0,4.0,3.0,,3.0,3.0,,2.0,,3.0,4.0,,4.0,,4.0,5.0,2.0,4.0,,7,12.078644444444445
1.0,1.0,,2.0,,4.0,2.0,,4.0,3.0,3.0,,3.0,3.0,,4.0,,3.0,2.0,,4.0,2.0,,5.0,2.0,4.0,,4.0,2.0,,,2.0,4.0,3.0,,3.0,2.0,4.0,,,4.0,4.0,,2.0,2.0,7,12.159522222222222
